Q1,Q5_1,Q5_2,Q5_3,Q5_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q7,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q14
1,0,0,3.376,0,,,,,,,,,,,,,,,,,0,0,1.951,0,,,,,,,,,,,,,,,,,0,0,3.928,0,,,,,,,,,,,,,,,,
1,6.735,28.18,29.513,15,5,6,6,5,6,5,6,6,5,5,5,5,5,6,,1,6.265,21.055,22.81,15,2,2,5,6,3,6,5,4,2,3,3,4,1,2,,3,84.144,94.723,95.68,2,1,2,6,2,3,2,6,5,5,2,3,1,6,3,,2
1,4.105,42.36,43.121,14,7,7,5,7,6,7,7,7,5,7,5,7,7,5,,1,36.214,50.125,51.158,14,7,4,3,5,2,1,5,6,5,3,4,4,2,5,,3,7.344,14.895,15.902,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2
1,0,0,3.941,0,,,,,,,,,,,,,,,,,0,0,1.969,0,,,,,,,,,,,,,,,,,0,0,4.598,0,,,,,,,,,,,,,,,,
1,10.222,55.492,58.834,19,6,7,6,5,6,6,5,7,7,6,6,5,5,6,7,1,3.351,38.519,55.49,21,5,5,2,2,4,1,6,7,2,4,7,6,2,3,3,3,0,0,75.028,0,5,4,5,7,5,1,4,7,3,6,2,5,4,2,3,2
1,4.575,67.295,68.254,16,6,7,6,4,7,7,5,7,6,6,5,7,7,6,7,1,4.136,20.93,22.854,16,2,5,4,5,6,1,3,7,7,3,4,3,4,3,4,3,30.606,30.606,36.919,1,2,4,6,2,3,6,7,3,7,7,3,7,6,1,4,2
1,9.372,108.923,109.669,20,7,6,6,5,6,7,6,5,6,6,6,6,6,7,7,1,5.546,29.34,42.033,15,2,7,7,6,1,4,3,1,5,6,4,3,5,5,3,3,0,0,44.322,0,5,4,1,4,7,2,5,5,4,5,1,5,3,2,1,2
1,4.305,55.539,56.152,18,6,6,6,7,6,7,6,6,6,7,6,5,5,7,7,1,2.371,31.564,32.672,20,4,5,3,3,6,1,4,5,6,2,2,2,2,5,3,3,1.626,1.626,7.8,1,3,1,5,1,5,2,7,5,3,7,5,5,3,3,3,2
1,12.817,62.289,67.445,17,7,7,6,5,7,7,7,7,5,6,5,6,7,6,7,1,2.558,21.278,22.781,16,2,5,4,7,2,3,3,6,7,5,5,1,3,5,6,3,0,0,15.434,0,7,7,6,4,4,3,4,3,5,1,4,4,6,5,1,2
1,6.339,62.523,65.598,15,6,7,2,5,3,7,7,6,6,5,3,6,7,5,7,1,2.053,18.037,24.672,15,5,2,6,4,5,5,3,3,4,6,1,3,6,3,2,3,0,0,28.182,0,5,3,5,6,3,1,2,6,3,7,6,7,4,2,7,2
1,8.224,55.665,57.487,15,7,6,5,6,6,6,4,6,5,5,6,6,7,5,7,1,1.406,19.367,22.042,15,5,3,2,2,5,3,3,4,1,6,7,4,2,1,6,3,39.645,39.645,46.273,1,4,2,4,5,1,2,3,2,6,3,7,4,5,6,7,2
1,9.205,67.277,68.382,17,6,6,6,5,6,6,6,6,6,5,5,6,5,6,7,1,4.418,19.101,20.061,17,4,4,3,3,2,1,1,4,6,1,2,2,5,6,5,3,46.991,46.991,52.714,1,7,3,6,7,5,3,1,6,1,7,3,7,7,4,7,2
1,2.843,54.719,56.088,16,5,6,4,4,4,5,6,5,6,6,5,6,6,5,7,1,3.396,25.914,27.691,18,5,2,6,5,5,4,5,4,2,3,5,3,5,1,2,3,47.75,55.26,57.06,2,4,7,5,2,1,2,4,4,5,2,3,6,2,5,2,2
1,8.346,65.129,66.39,16,7,6,5,4,6,7,6,5,5,7,6,7,7,6,7,1,3.483,30.359,32.976,18,6,4,5,5,6,3,2,7,2,7,1,4,3,6,5,3,59.129,60.543,72.487,2,5,5,4,5,4,2,5,7,6,3,7,7,1,4,7,2
1,12.901,85.095,86.824,21,5,5,4,6,3,4,6,6,5,5,5,6,6,5,7,1,6.554,50.229,52.475,20,3,7,3,5,3,3,4,3,5,6,2,7,4,2,1,3,8.705,58.874,61.825,8,1,6,3,1,7,1,6,2,5,7,7,4,2,2,3,2
1,8.128,64.13,66.519,19,4,5,5,5,5,7,7,4,6,6,4,7,6,5,7,1,7.058,41.666,44.651,20,6,2,1,5,2,4,4,3,4,3,3,4,4,3,3,3,0,0,11.348,0,2,6,1,1,1,7,3,5,7,1,7,6,3,1,2,2
1,1.972,77.657,81.57,17,5,7,4,6,6,7,5,6,7,6,6,7,7,5,7,1,2.618,19.758,22.058,18,1,2,5,6,2,2,2,3,7,1,1,3,4,4,5,3,26.171,26.171,28.272,1,6,7,3,2,4,2,4,6,2,5,5,1,2,5,7,2
